Country,AQI Value,Pollution Score,Rounded Pollution Score,Country Code
Panama,68.6923076923077,2.170940170940171,2,PAN
Papua New Guinea,24.733333333333334,1.194074074074074,1,PNG
Paraguay,45.09090909090909,1.6464646464646466,2,PRY
Peru,38.869565217391305,1.5082125603864736,2,PER
Philippines,69.60445682451254,2.1912101516558344,2,PHL
Poland,50.48170731707317,1.766260162601626,2,POL
Portugal,33.71621621621622,1.3936936936936937,1,PRT
Qatar,164.0,4.288888888888889,4,QAT
Republic of Korea,421.0,10.0,10,
Republic of Moldova,49.588235294117645,1.74640522875817,2,MDA
Republic of North Macedonia,63.516129032258064,2.0559139784946234,2,MKD
Romania,55.35164835164835,1.8744810744810745,2,ROU
Russian Federation,42.227221597300336,1.5828271466066741,2,RUS
Rwanda,93.53846153846153,2.723076923076923,3,RWA
Saint Kitts and Nevis,90.0,2.6444444444444444,3,KNA
Saint Lucia,79.0,2.4,2,LCA
Saudi Arabia,168.0,4.377777777777778,4,SAU
Senegal,153.61111111111111,4.058024691358025,4,SEN
Serbia,69.22222222222223,2.1827160493827162,2,SRB
Seychelles,26.0,1.2222222222222223,1,SYC
Sierra Leone,42.9375,1.598611111111111,2,SLE
Singapore,91.0,2.666666666666667,3,SGP
Slovakia,67.84,2.152,2,SVK
Slovenia,72.2,2.2488888888888887,2,SVN
Solomon Islands,18.0,1.0444444444444445,1,SLB
Somalia,71.8,2.24,2,SOM
South Africa,113.55660377358491,3.167924528301887,3,ZAF
South Sudan,60.111111111111114,1.980246913580247,2,SSD
Spain,38.600682593856654,1.5022373909745923,2,ESP
Sri Lanka,58.107142857142854,1.9357142857142855,2,LKA
State of Palestine,86.0,2.5555555555555554,3,
Sudan,69.5,2.188888888888889,2,SDN
Suriname,43.333333333333336,1.6074074074074076,2,SUR
Sweden,36.891304347826086,1.4642512077294687,1,SWE
Switzerland,57.670212765957444,1.9260047281323875,2,CHE
Syrian Arab Republic,71.83333333333333,2.2407407407407405,2,SYR
Tajikistan,111.61538461538461,3.124786324786325,3,TJK
Thailand,53.73125,1.8384722222222223,2,THA
